latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.471,-81.37814,304.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,2.30,0.00,1.75,74,85,56,-16.1,4.19,16804.02,-12.3,-9.8,-13.9,13.1,21.7,248,0.12,0.31
2015-01-02,0.00,0.00,0.00,71,79,53,-25.8,6.12,25417.49,-21.8,-14.8,-26.3,11.6,16.3,282,0.05,0.19
2015-01-03,2.30,0.00,1.82,77,84,69,-20.4,2.42,0.00,-17.4,-7.3,-24.7,11.5,13.6,170,0.07,0.21
2015-01-04,5.80,0.00,4.20,82,90,70,-15.5,2.26,0.00,-13.0,-7.4,-21.7,12.9,18.6,2,0.05,0.13
2015-01-05,0.80,0.00,0.63,66,74,53,-32.0,6.03,25325.76,-27.5,-22.5,-31.9,14.4,17.8,285,0.03,0.15
2015-01-06,0.20,0.00,0.35,73,81,57,-26.6,4.69,20437.67,-23.0,-19.1,-27.6,10.2,13.0,252,0.06,0.17
2015-01-07,0.00,0.00,0.00,68,76,52,-30.9,6.02,25200.00,-26.6,-21.5,-29.7,15.2,17.7,311,0.03,0.14
2015-01-08,1.50,0.00,1.26,74,81,66,-24.3,2.98,0.00,-20.9,-12.1,-27.2,12.4,15.5,238,0.06,0.19
2015-01-09,2.00,0.00,1.68,70,86,46,-22.4,5.42,25331.12,-18.1,-12.4,-23.7,13.1,17.2,299,0.06,0.20
2015-01-10,0.60,0.00,0.56,72,79,65,-26.6,3.81,3355.28,-23.0,-16.6,-26.8,11.3,13.8,238,0.05,0.17
2015-01-11,0.00,0.00,0.00,76,80,69,-23.2,5.95,23438.37,-20.1,-15.5,-23.0,6.3,9.5,227,0.05,0.19
2015-01-12,0.00,0.00,0.00,73,80,53,-25.9,6.50,26507.82,-22.3,-16.6,-25.8,10.6,14.5,313,0.05,0.15
2015-01-13,0.00,0.00,0.00,73,79,67,-25.4,6.24,26617.63,-21.8,-11.2,-27.9,14.5,21.5,235,0.09,0.28
2015-01-14,1.10,0.00,0.91,74,85,66,-16.0,3.77,12421.02,-12.2,-7.4,-15.0,17.4,21.7,218,0.11,0.39
2015-01-15,2.60,0.00,2.10,83,89,73,-10.5,2.13,0.00,-8.0,-3.5,-10.6,14.9,24.9,209,0.11,0.30
2015-01-16,0.20,0.00,0.14,68,78,53,-23.2,6.75,26682.77,-18.7,-7.7,-23.9,17.2,25.1,310,0.11,0.29
2015-01-17,2.50,0.00,1.82,70,79,64,-25.6,2.34,0.00,-21.6,-12.5,-27.9,13.3,19.0,158,0.06,0.19
2015-01-18,2.50,0.00,2.24,84,94,70,-9.8,3.95,5730.82,-7.5,-5.0,-12.1,12.2,15.7,276,0.10,0.28
2015-01-19,0.00,0.00,0.28,76,83,60,-20.9,6.67,26839.02,-17.6,-12.9,-20.6,13.1,15.6,345,0.06,0.25
2015-01-20,0.00,0.00,0.00,72,79,53,-28.0,7.60,27864.16,-24.3,-19.1,-28.8,7.3,11.1,310,0.06,0.20
2015-01-21,0.00,0.00,0.07,75,81,66,-22.4,5.24,23434.61,-19.0,-11.2,-23.4,6.4,7.8,220,0.07,0.24
2015-01-22,0.00,0.00,0.00,77,85,59,-18.0,6.99,27457.50,-14.8,-12.7,-17.6,7.7,12.6,292,0.09,0.27
2015-01-23,1.70,0.00,1.61,76,87,70,-9.0,2.29,0.00,-5.5,-1.1,-13.0,18.5,22.8,226,0.12,0.50
