latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.237255,-81.57568,195.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,4.60,0.00,3.50,71,78,64,-8.3,2.16,0.00,-3.7,-1.9,-5.6,50.3,56.5,254,0.17,0.95
2015-01-02,0.90,0.00,1.61,68,75,59,-10.4,4.51,21837.47,-5.4,-2.6,-7.8,29.5,46.4,300,0.20,0.87
2015-01-03,4.40,0.00,3.08,73,92,50,-6.1,1.49,0.00,-1.7,-0.3,-3.2,24.4,37.4,148,0.26,0.62
2015-01-04,10.60,0.00,7.77,90,95,79,-3.8,2.04,156.28,-2.3,0.4,-4.9,25.3,32.1,34,0.09,0.26
2015-01-05,5.70,0.00,3.99,74,79,63,-14.3,5.25,25200.00,-10.5,-5.7,-13.7,40.8,45.4,299,0.11,0.54
2015-01-06,3.70,0.00,2.59,67,76,63,-13.2,3.49,12673.88,-8.2,-7.0,-9.8,36.0,49.7,261,0.12,0.72
2015-01-07,3.40,0.00,3.22,77,82,73,-18.5,5.34,23273.86,-15.4,-7.8,-20.0,39.7,49.4,333,0.09,0.34
2015-01-08,3.70,0.00,2.94,70,77,64,-13.3,2.57,0.00,-8.8,-7.0,-14.8,45.8,49.7,262,0.11,0.68
2015-01-09,8.00,0.00,6.16,73,80,66,-13.8,6.49,26239.25,-9.9,-8.1,-11.3,41.8,56.1,272,0.09,0.60
2015-01-10,4.00,0.00,2.94,67,72,60,-14.5,4.68,16733.33,-9.4,-6.3,-11.1,44.0,48.6,262,0.15,0.75
2015-01-11,0.30,0.00,0.49,72,79,62,-8.8,3.45,6206.50,-4.6,-2.2,-6.2,35.7,44.9,241,0.15,0.79
2015-01-12,2.60,0.00,1.89,79,90,70,-8.7,5.22,25538.58,-5.6,-1.8,-12.0,23.1,31.3,343,0.13,0.47
2015-01-13,0.00,0.00,0.00,73,77,68,-17.6,6.25,27671.70,-13.8,-9.8,-16.1,15.7,32.1,33,0.09,0.42
2015-01-14,0.00,0.00,0.00,73,78,70,-11.3,4.73,12929.40,-7.3,-5.3,-9.6,21.9,26.6,220,0.12,0.57
2015-01-15,1.70,0.00,1.89,79,86,73,-6.8,2.19,0.00,-3.6,-0.8,-5.2,32.6,45.8,229,0.12,0.55
2015-01-16,1.40,0.00,1.19,70,88,64,-12.8,7.37,28648.31,-8.3,-0.4,-12.8,33.3,46.0,315,0.16,0.71
2015-01-17,0.40,0.00,0.35,74,86,65,-11.6,2.52,47.58,-7.8,1.6,-12.2,29.0,47.3,164,0.11,0.48
2015-01-18,3.70,3.00,0.70,90,99,83,-0.5,3.16,5169.81,1.0,2.3,-0.6,31.9,45.9,237,0.11,0.45
2015-01-19,0.00,0.00,0.21,79,84,70,-10.7,4.84,19635.22,-7.7,-0.8,-11.3,23.9,33.9,352,0.10,0.46
2015-01-20,0.00,0.00,0.00,73,77,67,-15.1,7.53,29045.58,-11.3,-10.3,-12.2,11.9,16.3,25,0.09,0.45
2015-01-21,0.00,0.00,0.00,72,79,65,-13.4,6.78,27834.24,-9.2,-8.1,-10.1,8.4,14.0,64,0.11,0.43
2015-01-22,0.10,0.00,0.14,78,84,70,-10.7,6.20,28243.30,-7.5,-3.6,-9.7,15.0,26.2,316,0.13,0.46
