latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.534267,-79.90784,198.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.70,0.00,1.82,68,75,60,-10.1,3.24,3758.57,-5.2,-2.7,-7.4,30.9,34.7,241,0.17,0.82
2015-01-02,2.60,0.00,2.17,69,77,59,-9.3,3.90,22282.37,-4.4,-2.3,-5.8,20.0,30.9,286,0.18,0.71
2015-01-03,7.30,0.00,5.18,82,93,70,-7.8,1.54,0.00,-5.3,-1.0,-8.9,17.6,26.3,136,0.12,0.30
2015-01-04,12.40,5.80,4.62,92,97,82,-1.4,2.24,4546.84,-0.3,2.2,-3.3,12.8,25.6,302,0.09,0.26
2015-01-05,5.40,0.00,3.78,70,83,59,-13.3,4.35,13014.84,-8.8,-3.2,-12.0,30.0,35.1,288,0.11,0.60
2015-01-06,0.10,0.00,1.12,71,79,57,-14.9,4.30,15856.82,-10.7,-7.8,-12.2,23.0,27.6,237,0.15,0.51
2015-01-07,3.10,0.00,2.38,70,78,63,-19.4,6.37,25681.23,-15.1,-9.0,-20.4,26.5,31.0,317,0.09,0.38
2015-01-08,1.60,0.00,1.19,71,81,63,-16.5,4.36,1698.93,-12.3,-8.7,-17.4,25.4,32.5,246,0.12,0.48
2015-01-09,5.20,0.00,3.71,70,78,62,-14.8,5.85,25265.31,-10.3,-8.3,-12.2,25.7,30.1,246,0.12,0.58
2015-01-10,1.10,0.00,1.54,67,72,58,-15.9,6.26,24364.41,-11.0,-9.2,-12.2,27.8,30.0,247,0.12,0.61
2015-01-11,0.00,0.00,0.14,70,80,56,-13.0,6.48,25300.95,-8.4,-2.0,-11.8,18.6,27.5,218,0.23,0.66
2015-01-12,1.10,0.00,1.12,77,88,68,-7.6,4.19,15931.49,-4.2,-2.9,-9.1,16.8,25.5,291,0.15,0.48
2015-01-13,0.00,0.00,0.00,71,78,55,-21.6,8.61,28951.09,-17.5,-10.7,-21.7,12.1,23.4,23,0.09,0.36
2015-01-14,0.00,0.00,0.00,75,84,60,-17.1,7.49,29064.49,-13.5,-7.5,-16.6,8.7,13.4,162,0.14,0.41
2015-01-15,0.00,0.00,0.07,76,83,64,-12.4,5.00,20131.75,-8.9,-4.1,-12.8,14.9,22.5,215,0.15,0.45
2015-01-16,1.00,0.00,1.40,71,85,64,-12.0,7.97,28736.12,-7.7,-1.8,-12.8,26.7,35.1,304,0.14,0.65
2015-01-17,0.00,0.00,0.00,74,81,61,-16.3,5.35,15639.12,-12.5,-2.3,-17.4,19.8,32.2,144,0.14,0.43
2015-01-18,3.60,3.30,0.21,83,95,74,-0.5,3.70,5567.65,2.1,3.6,-1.2,18.9,28.1,214,0.20,0.65
2015-01-19,0.20,0.10,0.49,84,92,76,-7.8,4.81,14773.08,-5.5,-0.4,-9.6,21.1,24.2,308,0.08,0.36
2015-01-20,0.00,0.00,0.00,75,79,65,-15.9,8.42,29566.66,-12.4,-9.9,-14.8,9.8,15.3,340,0.09,0.42
2015-01-21,0.00,0.00,0.00,75,84,61,-16.8,8.50,29943.85,-13.3,-8.0,-17.6,7.3,9.3,78,0.12,0.43
2015-01-22,0.00,0.00,0.21,76,83,68,-13.3,7.15,21681.88,-9.8,-3.7,-14.3,10.6,17.3,305,0.13,0.48
2015-01-23,0.00,0.00,0.07,77,86,63,-7.1,7.73,30226.89,-3.6,0.4,-5.5,20.6,27.2,232,0.22,0.76
2015-01-24,0.80,0.00,0.98,84,90,76,-4.6,3.22,3053.78,-2.2,0.1,-3.8,17.2,21.8,241,0.13,0.48
2015-01-25,0.60,0.00,0.56,76,90,63,-13.5,8.99,30524.15,-10.1,0.1,-15.2,19.5,27.5,335,0.10,0.50
2015-01-26,0.00,0.00,0.00,69,76,55,-20.1,10.28,30677.51,-15.6,-11.4,-19.0,12.4,13.5,75,0.11,0.46
2015-01-27,0.00,0.00,0.00,68,74,57,-19.5,10.36,30833.67,-14.8,-11.3,-17.0,11.0,13.6,29,0.11,0.50
2015-01-28,0.00,0.00,0.00,71,81,48,-17.4,10.81,30992.41,-13.0,-6.0,-16.1,9.6,13.1,321,0.20,0.61
2015-01-29,5.70,0.00,4.06,74,91,61,-11.2,2.09,0.00,-7.2,-2.8,-11.8,15.6,28.2,158,0.14,0.49
2015-01-30,1.10,0.00,1.26,77,92,66,-13.7,9.41,31316.70,-10.5,-2.7,-16.0,26.0,31.6,327,0.07,0.41
2015-01-31,0.00,0.00,0.00,74,82,65,-16.5,7.67,24981.87,-12.8,-4.7,-17.4,10.4,16.3,245,0.14,0.50
2015-02-01,0.30,0.00,0.56,75,85,62,-14.6,5.61,3111.46,-11.0,-4.1,-15.7,16.5,22.4,5,0.09,0.40
2015-02-02,7.50,0.00,5.32,70,76,65,-20.5,8.90,25192.28,-16.3,-14.3,-17.6,19.1,21.7,20,0.07,0.41
2015-02-03,0.00,0.00,0.00,73,81,61,-16.2,8.46,24846.36,-12.3,-6.4,-16.9,17.2,25.1,247,0.15,0.56
2015-02-04,2.50,0.00,2.03,81,87,73,-9.2,6.11,10905.59,-6.5,-3.8,-8.1,14.1,19.8,242,0.12,0.50
2015-02-05,0.40,0.00,0.35,71,79,59,-16.7,11.90,32165.08,-12.5,-7.1,-15.8,15.4,24.1,315,0.09,0.55
2015-02-06,1.10,0.00,1.12,74,81,68,-14.0,6.66,23553.98,-10.2,-4.8,-15.2,20.8,27.3,253,0.14,0.58
2015-02-07,5.60,0.00,4.06,83,89,77,-9.4,3.43,293.75,-7.1,-5.6,-8.7,10.3,17.9,30,0.09,0.33
2015-02-08,6.60,0.00,4.97,81,91,72,-12.6,2.92,0.00,-9.9,-5.8,-12.1,18.2,21.9,91,0.07,0.30
2015-02-09,0.00,0.00,0.00,73,78,68,-17.8,10.33,32400.00,-14.1,-11.1,-17.0,11.7,17.9,44,0.08,0.51
2015-02-10,0.00,0.00,0.00,76,85,64,-15.1,12.48,32591.36,-11.7,-8.0,-14.7,7.2,9.7,344,0.12,0.60
2015-02-11,0.90,0.00,0.77,78,86,74,-11.9,4.62,2004.50,-8.9,-3.7,-12.2,12.9,20.8,160,0.11,0.41
2015-02-12,1.30,0.00,1.33,77,89,61,-14.4,11.97,32510.37,-11.1,-3.5,-18.2,24.2,32.9,316,0.07,0.38
2015-02-13,0.00,0.00,0.00,67,73,58,-24.1,12.96,32842.76,-19.5,-12.9,-23.9,12.5,23.9,315,0.09,0.52
2015-02-14,3.00,0.20,2.31,73,83,60,-15.8,11.89,28209.55,-12.0,-9.8,-14.4,20.0,30.0,277,0.09,0.54
2015-02-15,0.00,0.00,0.35,66,71,60,-27.9,13.82,33598.04,-23.3,-15.5,-27.1,28.3,32.4,330,0.05,0.31
2015-02-16,0.00,0.00,0.00,64,75,42,-27.5,14.10,34086.52,-22.2,-16.3,-26.2,8.9,18.4,320,0.10,0.50
