latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.987698,-79.301636,180.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.07,56,61,48,-11.3,3.75,3810.47,-3.7,-1.4,-5.5,42.4,48.7,246,0.23,1.38
2015-01-02,0.00,0.00,0.00,57,67,45,-8.9,5.36,25462.56,-1.3,-0.4,-2.0,28.0,39.4,263,0.33,1.38
2015-01-03,10.60,9.10,1.05,70,89,52,-5.8,1.33,0.00,-0.9,2.6,-2.4,14.6,23.3,95,0.27,0.59
2015-01-04,20.40,20.40,0.00,94,99,87,4.3,1.54,690.97,5.3,7.1,1.7,23.0,41.0,225,0.09,0.28
2015-01-05,0.70,0.10,0.49,57,87,44,-13.7,6.70,26662.99,-6.3,1.0,-10.3,35.7,41.3,273,0.19,1.04
2015-01-06,1.90,0.00,1.61,54,64,44,-16.8,5.04,16783.91,-9.2,-6.7,-10.6,18.5,32.1,271,0.18,0.78
2015-01-07,1.10,0.00,1.19,57,62,51,-17.2,7.45,28497.38,-10.4,-6.7,-14.3,33.1,42.2,293,0.16,0.84
2015-01-08,0.00,0.00,0.07,63,67,55,-17.4,6.08,23347.13,-11.8,-9.0,-14.9,34.7,44.9,254,0.13,0.68
2015-01-09,4.40,0.00,3.22,65,74,56,-13.2,8.27,29287.39,-7.8,-6.7,-9.2,39.7,50.4,244,0.15,0.90
2015-01-10,0.00,0.00,0.00,65,68,63,-16.5,7.93,28730.73,-11.2,-8.7,-13.6,35.0,39.0,256,0.11,0.71
2015-01-11,0.00,0.00,0.00,64,70,55,-11.0,7.19,26286.81,-5.3,-0.6,-8.9,26.9,38.0,227,0.25,1.01
2015-01-12,5.90,0.00,4.27,82,93,64,-3.7,2.55,796.51,-1.0,-0.0,-3.1,19.6,28.9,254,0.22,0.53
2015-01-13,0.00,0.00,0.00,71,76,64,-15.3,7.57,28896.05,-11.0,-4.5,-14.4,21.8,30.7,26,0.14,0.56
2015-01-14,0.00,0.00,0.00,75,82,66,-14.4,9.36,29783.09,-10.9,-6.7,-13.9,13.2,16.4,171,0.12,0.54
2015-01-15,0.00,0.00,0.00,75,80,66,-11.4,6.03,25898.99,-7.8,-4.2,-9.7,22.9,34.9,236,0.14,0.57
2015-01-16,0.60,0.00,0.70,70,88,50,-9.4,8.42,30004.16,-4.5,-2.4,-8.4,29.2,40.6,269,0.18,0.87
2015-01-17,0.00,0.00,0.00,69,81,58,-13.2,7.55,28390.92,-8.4,2.8,-16.0,14.2,28.4,150,0.23,0.70
2015-01-18,1.20,1.20,0.00,79,94,69,-0.5,5.76,18223.03,2.8,3.7,0.3,30.2,37.8,209,0.24,1.06
2015-01-19,0.00,0.00,0.07,79,94,65,-4.5,4.71,16259.78,-1.2,0.2,-2.7,20.8,25.3,275,0.19,0.65
2015-01-20,0.00,0.00,0.00,67,70,62,-11.0,6.62,24085.22,-5.9,-3.1,-8.0,10.5,15.1,345,0.16,0.66
2015-01-21,0.00,0.00,0.00,70,85,57,-13.5,7.71,26929.03,-8.8,-2.3,-14.5,10.2,16.4,56,0.22,0.65
2015-01-22,0.00,0.00,0.28,73,81,56,-8.5,8.75,30736.70,-4.3,-2.0,-7.7,11.5,15.3,324,0.23,0.74
2015-01-23,0.00,0.00,0.00,75,83,67,-7.0,7.59,29809.26,-3.2,-1.9,-4.1,23.4,32.9,236,0.16,0.77
2015-01-24,0.10,0.00,0.35,85,89,81,-5.2,4.24,2521.77,-3.0,-1.3,-4.4,19.0,26.1,237,0.10,0.45
2015-01-25,0.00,0.00,0.14,73,90,60,-9.1,9.58,30837.57,-5.0,-0.5,-9.3,20.4,25.3,321,0.14,0.71
2015-01-26,1.60,0.00,1.19,67,73,62,-13.6,5.14,0.00,-8.6,-7.2,-9.8,22.9,25.9,61,0.12,0.67
2015-01-27,0.30,0.00,1.05,71,79,55,-12.6,8.84,30377.81,-8.1,-7.2,-9.6,20.0,23.0,36,0.15,0.68
2015-01-28,0.00,0.00,0.00,67,75,55,-14.5,11.29,31589.15,-9.5,-5.9,-12.4,12.1,15.6,296,0.18,0.76
2015-01-29,4.30,0.60,2.59,69,94,49,-9.1,2.46,0.00,-4.0,1.6,-9.1,19.5,29.3,185,0.32,0.78
2015-01-30,4.40,0.30,2.87,75,98,56,-9.4,7.62,30004.59,-5.5,0.7,-10.8,25.3,34.2,311,0.13,0.61
2015-01-31,0.00,0.00,0.00,71,76,62,-14.5,10.33,32048.74,-10.2,-4.9,-13.0,17.9,24.4,278,0.13,0.70
2015-02-01,2.20,0.00,1.68,81,86,75,-8.2,4.74,0.00,-5.4,-3.2,-8.3,22.3,32.7,15,0.10,0.47
2015-02-02,18.10,0.00,12.74,80,86,64,-12.3,5.54,15614.60,-9.4,-8.2,-11.2,34.0,40.4,34,0.11,0.46
2015-02-03,0.00,0.00,0.00,74,82,66,-14.1,9.36,32391.66,-10.3,-7.4,-13.2,26.4,36.4,250,0.10,0.59
2015-02-04,3.40,0.00,2.80,82,87,74,-5.8,3.33,295.13,-3.1,-0.2,-7.1,23.5,27.7,228,0.11,0.56
2015-02-05,1.90,0.00,1.33,67,80,52,-14.1,11.69,32406.71,-9.1,-2.3,-12.4,21.1,25.9,310,0.14,0.76
2015-02-06,0.70,0.00,0.49,72,76,63,-13.6,9.91,26235.00,-9.5,-5.7,-12.1,32.0,39.5,242,0.12,0.73
2015-02-07,1.90,0.00,1.82,81,88,74,-6.6,4.10,1409.61,-3.8,-1.0,-6.0,15.8,27.0,233,0.14,0.57
2015-02-08,8.30,1.80,4.62,89,95,85,-5.6,2.04,0.00,-4.1,-1.2,-7.5,22.0,29.3,49,0.06,0.27
2015-02-09,5.70,0.00,4.06,80,85,74,-11.1,5.24,2206.30,-8.3,-7.4,-9.0,24.9,30.9,42,0.09,0.50
