latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.28471,-83.01611,188.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,42,48,36,-16.8,8.02,28040.97,-5.9,-1.7,-8.1,30.4,34.9,239,0.32,1.51
2015-01-02,0.00,0.00,0.00,59,75,45,-9.0,6.45,27954.44,-1.8,1.7,-3.3,16.1,26.3,247,0.38,1.13
2015-01-03,18.80,16.80,1.40,87,99,76,-2.9,0.76,0.00,-1.0,1.6,-2.7,13.4,19.1,122,0.12,0.23
2015-01-04,6.40,6.00,0.35,92,100,71,0.1,3.35,4630.45,1.3,3.1,-0.7,12.6,27.3,274,0.21,0.46
2015-01-05,0.10,0.00,0.07,45,69,35,-18.7,8.40,29296.03,-8.9,-1.8,-13.3,26.7,32.1,283,0.20,1.10
2015-01-06,1.50,0.00,1.12,52,60,42,-18.7,7.77,23979.93,-10.5,-7.2,-12.7,16.5,26.9,253,0.19,0.80
2015-01-07,0.00,0.00,0.21,52,67,35,-19.5,8.95,29446.25,-11.5,-7.6,-13.7,25.7,32.1,303,0.15,0.80
2015-01-08,0.20,0.00,0.14,59,72,45,-21.8,6.79,21861.99,-15.5,-13.8,-18.1,25.9,33.0,233,0.12,0.51
2015-01-09,3.00,0.00,2.38,70,78,54,-15.2,8.96,29613.04,-10.7,-9.1,-12.9,27.6,33.4,243,0.14,0.64
2015-01-10,0.00,0.00,0.00,75,80,68,-19.3,9.54,29702.23,-15.8,-13.1,-18.3,22.9,27.0,230,0.07,0.38
2015-01-11,0.00,0.00,0.00,73,75,69,-12.0,5.99,20389.56,-7.9,-1.9,-13.9,17.7,21.3,209,0.16,0.63
2015-01-12,5.30,0.00,3.78,85,94,69,-5.0,6.02,16797.97,-2.7,-1.8,-5.5,14.1,23.0,286,0.15,0.52
2015-01-13,0.00,0.00,0.00,75,83,67,-17.0,9.96,29991.08,-13.6,-6.2,-17.5,15.0,22.3,20,0.11,0.43
2015-01-14,0.00,0.00,0.00,80,87,70,-18.9,9.50,30093.91,-16.3,-10.7,-21.6,9.8,12.5,357,0.08,0.40
2015-01-15,0.00,0.00,0.00,81,84,74,-14.1,9.41,29373.46,-11.4,-5.9,-15.3,16.2,24.8,219,0.09,0.45
2015-01-16,0.00,0.00,0.00,77,87,56,-7.2,9.03,28471.79,-3.6,-1.9,-6.5,16.1,24.4,279,0.21,0.73
2015-01-17,0.00,0.00,0.00,79,85,70,-8.7,8.19,25857.26,-5.7,3.5,-11.2,21.2,32.6,159,0.16,0.69
2015-01-18,1.80,1.80,0.00,84,94,70,-0.0,6.34,18388.51,2.4,3.7,0.6,23.5,31.4,232,0.23,0.76
2015-01-19,0.00,0.00,0.14,76,89,56,-4.8,6.55,23073.93,-0.9,1.7,-2.7,9.4,15.7,295,0.31,0.72
2015-01-20,1.00,0.00,0.77,75,80,66,-6.5,4.77,8687.34,-2.7,-0.8,-3.8,9.4,11.7,80,0.20,0.54
2015-01-21,4.20,0.00,3.01,83,87,79,-6.9,2.90,0.00,-4.4,-2.7,-5.9,12.1,15.3,69,0.09,0.36
2015-01-22,0.10,0.00,0.14,85,90,73,-6.8,7.92,15910.95,-4.5,-1.6,-6.4,7.6,11.6,311,0.15,0.57
