latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.90158,-81.272705,318.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.10,0.00,1.47,61,67,49,-12.0,2.77,0.00,-5.8,-3.1,-8.3,27.4,31.6,240,0.19,0.90
2015-01-02,1.80,0.10,1.26,68,82,55,-10.2,6.78,27626.44,-5.1,-3.2,-7.4,18.3,26.7,276,0.19,0.74
2015-01-03,12.30,1.30,7.70,77,91,60,-9.1,1.36,0.00,-5.7,-0.2,-13.7,14.6,20.8,130,0.16,0.35
2015-01-04,8.50,5.10,2.52,95,100,82,-0.7,2.08,0.00,0.0,1.2,-3.1,10.3,20.8,277,0.10,0.23
2015-01-05,4.00,0.00,3.01,68,88,59,-15.5,5.93,24949.14,-10.8,-3.3,-13.8,26.2,28.7,278,0.10,0.53
2015-01-06,0.60,0.00,1.47,71,78,62,-16.4,4.63,10882.60,-12.3,-9.8,-14.1,16.4,24.5,242,0.11,0.40
2015-01-07,1.50,0.00,1.96,67,72,59,-18.9,6.74,27356.35,-14.1,-9.8,-17.3,22.9,27.7,316,0.09,0.45
2015-01-08,1.80,0.00,1.82,70,76,65,-17.5,4.61,7453.60,-13.2,-11.3,-15.9,25.0,30.4,248,0.08,0.44
2015-01-09,5.00,0.00,4.41,72,81,65,-15.3,6.67,28151.26,-11.3,-9.7,-14.2,27.2,30.2,247,0.10,0.52
2015-01-10,0.70,0.00,1.40,68,73,64,-17.8,5.49,18545.62,-13.2,-11.0,-14.6,24.6,29.0,245,0.08,0.48
2015-01-11,0.00,0.00,0.07,73,80,61,-13.5,7.79,26465.93,-9.5,-3.2,-13.5,17.2,22.1,209,0.18,0.62
2015-01-12,2.20,0.00,1.89,80,92,66,-7.4,3.76,2603.66,-4.4,-3.7,-8.2,14.6,19.7,286,0.15,0.44
2015-01-13,0.00,0.00,0.14,71,79,56,-20.5,8.90,29254.24,-16.4,-9.5,-22.0,10.0,16.9,37,0.10,0.39
2015-01-14,0.00,0.00,0.00,76,82,66,-19.4,7.14,28754.86,-16.1,-8.9,-19.9,9.0,11.8,170,0.10,0.37
2015-01-15,0.00,0.00,0.07,81,88,74,-12.6,6.28,21600.00,-10.0,-6.0,-13.9,15.5,23.3,204,0.10,0.39
2015-01-16,2.00,0.00,2.03,71,90,55,-11.1,7.51,27697.05,-6.6,-1.9,-12.6,20.3,25.0,304,0.14,0.64
2015-01-17,0.00,0.00,0.00,74,81,66,-15.2,5.76,16807.89,-11.5,2.1,-18.8,18.9,31.0,151,0.15,0.52
2015-01-18,8.60,3.40,3.64,90,99,79,-0.1,3.01,0.00,1.4,3.0,-0.8,20.7,29.7,216,0.16,0.46
2015-01-19,0.90,0.00,0.91,83,94,71,-7.1,4.26,720.28,-4.7,-1.3,-8.1,13.2,17.2,319,0.11,0.37
2015-01-20,0.00,0.00,0.00,78,88,56,-13.0,7.89,28167.42,-9.7,-7.0,-12.0,6.4,9.9,34,0.16,0.46
2015-01-21,0.00,0.00,0.00,75,82,62,-17.2,7.68,29299.78,-13.6,-4.8,-19.6,7.0,10.8,95,0.16,0.50
